time/fps,time/process,time/physics_process,memory/static,memory/static_max,memory/msg_buf_max,object/objects,object/resources,object/nodes,object/orphan_nodes,raster/total_objects_drawn,raster/total_primitives_drawn,raster/total_draw_calls,video/video_mem,video/texture_mem,video/buffer_mem,physics_2d/active_objects,physics_2d/collision_pairs,physics_2d/islands,physics_3d/active_objects,physics_3d/collision_pairs,physics_3d/islands,audio/driver/output_latency
95.0,0.016126,0.004835,68009616.0,93620680.0,6696.0,2089.0,246.0,366.0,6.0,0.0,0.0,0.0,137580048.0,75755520.0,1780588.0,19.0,396.0,278.0,0.0,0.0,0.0,0.01
98.0,0.015457,0.0073,68557072.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,495.0,390.0,0.0,0.0,0.0,0.01
96.0,0.016468,0.001764,68566136.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,500.0,395.0,0.0,0.0,0.0,0.01
95.0,0.016538,0.002017,68573136.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,513.0,408.0,0.0,0.0,0.0,0.01
95.0,0.015347,0.002148,68593712.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,528.0,423.0,0.0,0.0,0.0,0.01
99.0,0.016005,0.002337,68599928.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
97.0,0.016459,0.001882,68599800.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
99.0,0.015637,0.001734,68599800.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
97.0,0.015266,0.003603,68599520.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
100.0,0.014828,0.001908,68599520.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
99.0,0.018414,0.002218,68599520.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
97.0,0.015764,0.002591,68599520.0,93620680.0,6696.0,2165.0,246.0,418.0,5.0,0.0,0.0,0.0,137583120.0,75755520.0,1781164.0,19.0,524.0,419.0,0.0,0.0,0.0,0.01
99.0,0.015462,0.001951,69351680.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,563.0,458.0,0.0,0.0,0.0,0.01
88.0,0.022151,0.003079,69351760.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,564.0,459.0,0.0,0.0,0.0,0.01
84.0,0.030836,0.002698,69351520.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,561.0,456.0,0.0,0.0,0.0,0.01
85.0,0.01851,0.002357,69356784.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,566.0,461.0,0.0,0.0,0.0,0.01
85.0,0.017541,0.002855,69362752.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,566.0,461.0,0.0,0.0,0.0,0.01
85.0,0.02239,0.002832,69362456.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,566.0,461.0,0.0,0.0,0.0,0.01
87.0,0.017674,0.001884,69367352.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,574.0,469.0,0.0,0.0,0.0,0.01
72.0,0.018954,0.004006,69375992.0,93620680.0,6696.0,2300.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,573.0,468.0,0.0,0.0,0.0,0.01
85.0,0.018126,0.00237,69387752.0,93620680.0,6696.0,2302.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,583.0,478.0,0.0,0.0,0.0,0.01
86.0,0.017168,0.002135,69390336.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,575.0,470.0,0.0,0.0,0.0,0.01
87.0,0.016766,0.00238,69388480.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,566.0,461.0,0.0,0.0,0.0,0.01
87.0,0.013556,0.001791,69387488.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,559.0,454.0,0.0,0.0,0.0,0.01
87.0,0.014579,0.002863,69387728.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,562.0,457.0,0.0,0.0,0.0,0.01
87.0,0.015762,0.002707,69389880.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,566.0,461.0,0.0,0.0,0.0,0.01
86.0,0.025935,0.002993,69401936.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,569.0,464.0,0.0,0.0,0.0,0.01
87.0,0.018,0.001893,69403192.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
87.0,0.017967,0.002277,69403192.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
87.0,0.01678,0.001942,69403192.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
86.0,0.019445,0.002637,69403552.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
